model,launchDate,numCores,numThreads,baseClock,maxboostClock,allCoreBoostSpeed,L1Cache,L2Cache,L3Cache,processTech,PCIeVersion,PCIeLanes,defaultTDP,configTDP,tjMax,sysMemType,sysMemSpecs,memChannels,perSocketMemBW,graphicsCores,graphicsFreq,unlocked,platform,cpuSocket,socketCount,family,line,graphicsModel,thermalSolution
AMD Ryzen™ 5 6600H,2022,6,12,3.3,4.5,,384,3,16,6,4.0,,45,,95,DDR5,,4,,6,1900,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 660M,
AMD Ryzen™ 5 6600HS​,2022,6,12,3.3,4.5,,384,3,16,6,4.0,,35,,95,DDR5,,4,,6,1900,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 660M,
AMD Ryzen™ 5 6600U,2022,6,12,2.9,4.5,,384,3,16,6,4.0,,15,15-28,95,DDR5,,4,,6,1900,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 660M,
AMD Ryzen™ 5 PRO 6650H,2022,6,12,3.3,4.5,,384,3,16,6,4.0,,45,,95,DDR5,,4,,6,1900,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 6000 Series Mobile Processors,AMD Radeon™ 660M,
AMD Ryzen™ 5 PRO 6650HS,2022,6,12,3.3,4.5,,384,3,16,6,4.0,,35,,95,DDR5,,4,,6,1900,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 6000 Series Mobile Processors,AMD Radeon™ 660M,
AMD Ryzen™ 5 PRO 6650U,2022,6,12,2.9,4.5,,384,3,16,6,4.0,,15,15-28,95,DDR5,,4,,6,1900,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 5 PRO 6000 Series Mobile Processors,AMD Radeon™ 660M,
AMD Ryzen™ 7 6800H,2022,8,16,3.2,4.7,,512,4,16,6,4.0,,45,,95,DDR5,,4,,12,2200,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 7 6800HS,2022,8,16,3.2,4.7,,512,4,16,6,4.0,,35,,95,DDR5,,4,,12,2200,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 7 6800U​,2022,8,16,2.7,4.7,,512,4,16,6,4.0,,15,15-28,95,DDR5,,4,,12,2200,No,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 7 PRO 6850H,2022,8,16,3.2,4.7,,512,4,16,6,4.0,,45,,95,DDR5,,4,,12,2200,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 6000 Series Mobile Processors,AMD Radeon™ 680M,
AMD Ryzen™ 7 PRO 6850HS,2022,8,16,3.2,4.7,,512,4,16,6,4.0,,35,,95,DDR5,,4,,12,2200,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 6000 Series Mobile Processors,AMD Radeon™ 680M,
AMD Ryzen™ 7 PRO 6850U,2022,8,16,2.7,4.7,,512,4,16,6,4.0,,15,15-28,95,DDR5,,4,,12,2200,No,Laptop,,,AMD Ryzen™ PRO Processors,AMD Ryzen™ 7 PRO 6000 Series Mobile Processors,AMD Radeon™ 680M,
AMD Ryzen™ 9 6900HS​,2022,8,16,3.3,4.9,,512,4,16,6,4.0,,35,,95,DDR5,,4,,12,2400,No,Laptop,,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
AMD Ryzen™ 9 6900HX,2022,8,16,3.3,4.9,,512,4,16,6,4.0,,45,,95,DDR5,,4,,12,2400,Yes,Laptop,FP7,,AMD Ryzen™ Processors,AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics,AMD Radeon™ 680M,
