product,releaseDate,cores,threads,maxTurboClock,baseClock,cache,cacheInfo,TDP,lith,status,integratedG
Atom x6200FE,2021,2,,,1,1.5,,,,Launched,N/A
Atom x6211E,2021,2,,,1.3,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6212RE,2021,2,,,1.2,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6413E,2021,4,,,1.5,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6414RE,2021,4,,,1.5,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6425E,2021,4,,,2,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6425RE,2021,4,,,1.9,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Atom x6427FE,2021,4,,,1.9,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Celeron 6600HE,2021,2,,,2.6,8,Intel Smart Cache,,,Launched,Intel UHD Graphics for 11th Generation Intel Core Processors
Celeron J6412,2021,4,,,2,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Celeron J6413,2021,4,,,1.8,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Celeron N4500,2021,2,,,1.1,4,L3 Cache,,,Launched,Intel UHD Graphics
Celeron N4505,2021,2,,,2,4,L3 Cache,,,Launched,Intel UHD Graphics
Celeron N5100,2021,4,,,1.1,4,L3 Cache,,,Launched,Intel UHD Graphics
Celeron N5105,2021,4,,,2,4,L3 Cache,,,Launched,Intel UHD Graphics
Celeron N6210,2021,2,,,1.2,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Celeron N6211,2021,2,,,1.2,1.5,L2 Cache,,,Launched,Intel UHD Graphics for 10th Generation Intel Core Processors
Core i3-10100Y,2021,2,4,3.9,1.3,5,Intel Smart Cache,4,14,Launched,Intel UHD 615 Graphics
Core i3-10105,2021,4,8,4.4,3.7,65,Intel Smart Cache,6,14,Launched,Intel UHD 630 Graphics
Core i3-10105F,2021,4,8,4.4,3.7,65,Intel Smart Cache,6,14,Launched,N/A
Core i3-10105T,2021,4,8,3.9,3,35,Intel Smart Cache,6,14,Launched,Intel UHD 630 Graphics
Core i3-10305,2021,4,8,4.5,3.8,65,Intel Smart Cache,8,14,Launched,Intel UHD 630 Graphics
Core i3-10305T,2021,4,8,4,3,35,Intel Smart Cache,8,14,Launched,Intel UHD 630 Graphics
Core i3-10325,2021,4,8,4.7,3.9,65,Intel Smart Cache,8,14,Launched,Intel UHD 630 Graphics
Core i3-11100HE,2021,4,8,4.4,,,Intel Smart Cache,8,10,Launched,Intel UHD Graphics for 11th Gen Intel Core Processors
Core i3-1120G4,2021,4,8,3.5,,,Intel Smart Cache,8,10,Launched,Intel UHD Graphics for 11th Gen Intel Core Processors
Core i3-1125G4,2021,4,8,3.7,,,Intel Smart Cache,8,10,Launched,Intel UHD Graphics for 11th Gen Intel Core Processors
Core i3-1125G4 (with IPU),2021,4,8,3.7,,,Intel Smart Cache,8,10,Launched,Intel UHD Graphics for 11th Gen Intel Core Processors
Core i5-10505,2021,6,12,4.6,3.2,65,Intel Smart Cache,12,14,Launched,Intel UHD 630 Graphics
Core i5-11260H,2021,6,12,4.4,,,Intel Smart Cache,12,10,Launched,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i5-11300H,2021,4,8,4.4,,,Intel Smart Cache,8,10,Launched,Intel Iris Xe Graphics
Core i5-11320H,2021,4,8,4.5,,,Intel Smart Cache,8,10,Launched,Intel Iris Xe Graphics eligible
Core i5-11400,2021,6,12,4.4,2.6,65,Intel Smart Cache,12,14,Launched,Intel UHD Graphics 730
Core i5-11400F,2021,6,12,4.4,2.6,65,Intel Smart Cache,12,14,Launched,N/A
Core i5-11400H,2021,6,12,4.5,,,Intel Smart Cache,12,10,Launched,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i5-11400T,2021,6,12,3.7,1.3,35,Intel Smart Cache,12,14,Launched,Intel UHD Graphics 730
Core i5-1140G7,2021,4,8,4.2,,,Intel Smart Cache,8,10,Launched,Intel Iris Xe Graphics
Core i5-1145G7,2021,4,8,4.4,,,Intel Smart Cache,8,10,Launched,Intel Iris Xe Graphics
Core i5-11500,2021,6,12,4.6,2.7,65,Intel Smart Cache,12,14,Launched,Intel UHD Graphics 750
Core i5-11500H,2021,6,12,4.6,,,Intel Smart Cache,12,10,Launched,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i5-11500HE,2021,6,12,4.5,,,Intel Smart Cache,12,10,Launched,Intel UHD Graphics for 11th Generation Intel Core Processors
Core i5-11500T,2021,6,12,3.9,1.5,35,Intel Smart Cache,12,14,Launched,Intel UHD Graphics 750
Core i5-1155G7,2021,4,8,4.5,,,Intel Smart Cache,8,10,Launched,Intel Iris Xe Graphics eligible
Core i5-1155G7 (with IPU),2021,4,8,4.5,,,Intel Smart Cache,8,10,Launched,Intel Iris Xe Graphics eligible
Core i5-11600,2021,6,12,4.8,2.8,65,Intel Smart Cache,12,14,Launched,Intel UHD Graphics 750
Core i5-11600K,2021,6,12,4.9,3.9,125,Intel Smart Cache,12,14,Launched,Intel UHD Graphics 750
Core i5-11600KF,2021,6,12,4.9,3.9,125,Intel Smart Cache,12,14,Launched,N/A
Core i5-11600T,2021,6,12,4.1,1.7,35,Intel Smart Cache,12,14,Launched,Intel UHD Graphics 750
Core i5-12600K,2021,10,16,4.9,3.7,125,Intel Smart Cache,20,7,Launched,Intel UHD Graphics 770
Core i5-12600KF,2021,10,16,4.9,3.7,125,Intel Smart Cache,20,7,Launched,N/A
Core i7-11370H,2021,4,8,4.8,,,Intel Smart Cache,12,10,Launched,Intel Iris Xe Graphics
Core i7-11375H,2021,4,8,5,,,Intel Smart Cache,12,10,Launched,Intel Iris Xe Graphics
